DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1775751014,834522962,2069,0,,4/9/2026,11:10:14,16627.26,438.35022,2104.2776,39.3252,55.0012,28.5553,40.2652,0.00294866,11.3902,54.5005,-424.75,0.517794,14.4992,111
DATA,1775751015,834189891,2073,0,,4/9/2026,11:10:15,16491.811,439.51892,2104.4751,39.3272,55.001,28.5482,40.2652,0.00293419,11.3905,54.5005,-218.25,0.517794,14.4992,121
DATA,1775751016,834189891,2077,0,,4/9/2026,11:10:16,16488.811,440.09964,2104.4556,39.326,55.001,28.542,40.2652,0.00292915,11.3905,54.5005,-94.75,0.517794,14.4992,239
DATA,1775751017,834189891,2081,0,,4/9/2026,11:10:17,16441.617,441.71454,2104.3574,39.3268,55.001,28.5412,40.2654,0.00292198,11.39,54.5005,-88.75,0.517794,14.4988,239
DATA,1775751018,834189891,2085,0,,4/9/2026,11:10:18,16334.999,443.55618,2105.0017,39.3268,55.001,28.5408,40.2654,0.00291099,11.3911,54.5005,-49.25,0.517794,14.4992,88
DATA,1775751019,834189891,2089,0,,4/9/2026,11:10:19,16318.689,441.79626,2104.6604,39.326,55.001,28.5416,40.2656,0.0029096,11.3907,54.5005,-37.25,0.517794,14.4988,2
DATA,1775751020,834189891,2093,0,,4/9/2026,11:10:20,16407.871,440.91254,2104.2515,39.3264,55.001,28.5395,40.2654,0.00291292,11.3907,54.5005,-121.5,0.517794,14.4988,55
DATA,1775751021,834189891,2097,0,,4/9/2026,11:10:21,16463.766,440.56119,2103.8301,39.3256,55.001,28.5354,40.2656,0.002925,11.3909,54.5005,-29.5,0.517794,14.4984,173
DATA,1775751022,833857059,2101,0,,4/9/2026,11:10:22,16488.176,440.90039,2103.6941,39.326,55.0012,28.5341,40.2652,0.0029264,11.3904,54.5005,-80.75,0.517794,14.4957,0
DATA,1775751023,833857059,2105,0,,4/9/2026,11:10:23,16562.729,440.22409,2104.1819,39.3268,55.0016,28.5333,40.2652,0.00293718,11.3899,54.5005,428,0.517794,14.4953,235
DATA,1775751024,833857059,2109,0,,4/9/2026,11:10:24,16617.738,441.04779,2104.1372,39.3264,55.0018,28.5383,40.2652,0.00293931,11.3897,54.5005,72.5,0.517794,14.4949,40
DATA,1775751025,833857059,2113,0,,4/9/2026,11:10:25,16620.596,440.18774,2104.1543,39.3243,55.0018,28.5395,40.2654,0.00294824,11.3891,54.5005,-101.75,0.517794,14.4957,170
DATA,1775751026,833857059,2117,0,,4/9/2026,11:10:26,16499.572,440.14914,2104.2002,39.3256,55.0018,28.5383,40.2654,0.00293628,11.3896,54.5005,202,0.517794,14.4949,234
DATA,1775751027,833857059,2121,0,,4/9/2026,11:10:27,16404.293,440.75439,2104.3174,39.326,55.0018,28.5416,40.2656,0.00292385,11.39,54.5007,90.5,0.517794,14.4957,129
DATA,1775751028,833857059,2125,0,,4/9/2026,11:10:28,16311.132,442.78043,2104.2815,39.3264,55.0018,28.5449,40.2656,0.00289767,11.3903,54.5013,-24,0.517794,14.4949,229
DATA,1775751029,833857059,2129,0,,4/9/2026,11:10:29,16155.77,443.35654,2104.2134,39.3264,55.0018,28.5453,40.2656,0.0028842,11.3898,54.5013,11.75,0.517794,14.4973,244
DATA,1775751030,833511114,2133,0,,4/9/2026,11:10:30,16098.429,442.58453,2104.561,39.3264,55.0018,28.5453,40.2654,0.00288278,11.391,54.5013,-119.25,0.517794,14.5,141
DATA,1775751031,833511114,2137,0,,4/9/2026,11:10:31,16071.023,442.59,2108.5117,39.3264,55.0018,28.5416,40.2652,0.00287896,11.3904,54.5013,144.75,0.517794,14.5004,186
DATA,1775751032,833511114,2141,0,,4/9/2026,11:10:32,16043.816,442.86938,2121.8853,39.3264,55.0018,28.5441,40.2652,0.00287877,11.3904,54.5013,133,0.517794,14.4992,217
DATA,1775751033,833511114,2145,0,,4/9/2026,11:10:33,16074.585,442.10852,2128.7063,39.3264,55.0016,28.547,40.2652,0.00288566,11.391,54.5013,35.5,0.517794,14.4996,164
DATA,1775751034,833511114,2149,0,,4/9/2026,11:10:34,16201.759,440.68353,2130.2251,39.3256,55.0014,28.5474,40.2652,0.00289413,11.3904,54.5013,18.75,0.517794,14.4992,49
DATA,1775751035,833511114,2153,0,,4/9/2026,11:10:35,16291.381,440.67563,2114.4819,39.3252,55.0012,28.5445,40.2654,0.00290502,11.3896,54.5011,-483.75,0.517794,14.4992,154
DATA,1775751036,833511114,2157,0,,4/9/2026,11:10:36,16340.897,439.06705,2106.3745,39.326,55.001,28.5441,40.2654,0.00291949,11.3901,54.5007,-41.5,0.517794,14.4996,216
DATA,1775751037,833168983,2161,0,,4/9/2026,11:10:37,16383.885,440.66058,2104.5232,39.3252,55.001,28.5399,40.2656,0.00291796,11.3898,54.5005,-311.25,0.517794,14.4988,148
DATA,1775751038,833168983,2165,0,,4/9/2026,11:10:38,16268.383,441.1947,2104.3733,39.3256,55.001,28.5329,40.2656,0.00290124,11.3899,54.5005,-277,0.517794,14.4977,200
DATA,1775751039,833168983,2169,0,,4/9/2026,11:10:39,16294.279,441.14716,2104.3711,39.3256,55.001,28.5279,40.2652,0.00290197,11.3901,54.5005,-106,0.517794,14.4945,231
DATA,1775751040,833168983,2173,0,,4/9/2026,11:10:40,16255.562,441.07947,2104.2957,39.3252,55.001,28.5262,40.2652,0.00290146,11.3898,54.5005,-264.5,0.517794,14.4945,66
DATA,1775751041,833168983,2177,0,,4/9/2026,11:10:41,16221.289,442.02307,2104.6111,39.3235,55.001,28.5208,40.2652,0.00289806,11.3904,54.5005,-93.75,0.517794,14.4941,46
DATA,1775751042,833168983,2181,0,,4/9/2026,11:10:42,16224.33,443.00269,2104.2537,39.3247,55.001,28.5208,40.2652,0.0028862,11.3902,54.5005,-604,0.517794,14.4941,93
DATA,1775751043,833168983,2185,0,,4/9/2026,11:10:43,16245.241,440.27713,2104.0879,39.3214,55.001,28.515,40.2652,0.00290739,11.3896,54.5005,-276.25,0.517794,14.4929,68
DATA,1775751044,833168983,2189,0,,4/9/2026,11:10:44,16217.507,441.3031,2104.5789,39.3252,55.0012,28.5146,40.2656,0.00290131,11.3899,54.5005,18,0.517794,14.4937,128
DATA,1775751045,832833051,2193,0,,4/9/2026,11:10:45,16151.901,442.95221,2104.8726,39.3264,55.0012,28.5167,40.2656,0.00286896,11.3901,54.5005,72.75,0.517794,14.4933,66
DATA,1775751046,832833051,2197,0,,4/9/2026,11:10:46,16165.668,441.27023,2104.5791,39.3256,55.0016,28.5171,40.2654,0.00288222,11.3904,54.5005,190.5,0.517794,14.4945,63
DATA,1775751047,832833051,2201,0,,4/9/2026,11:10:47,16328.976,440.72043,2104.6228,39.3276,55.0018,28.5217,40.2652,0.0029028,11.3892,54.5005,-7,0.517794,14.4969,118
DATA,1775751048,832833051,2205,0,,4/9/2026,11:10:48,16378.623,441.72186,2104.7236,39.3276,55.0018,28.5208,40.2652,0.00290827,11.3892,54.5005,-159.5,0.517794,14.4969,129
DATA,1775751049,832833051,2209,0,,4/9/2026,11:10:49,16386.414,439.34726,2107.6494,39.3235,55.0018,28.5163,40.2652,0.00292127,11.3896,54.5005,-738.25,0.517794,14.4961,184
DATA,1775751050,832833051,2213,0,,4/9/2026,11:10:50,16423.293,439.09955,2115.0376,39.3239,55.0018,28.5101,40.2654,0.00292506,11.389,54.5005,-295.5,0.517794,14.4961,51
DATA,1775751051,832833051,2217,0,,4/9/2026,11:10:51,16437.918,439.62222,2113.8257,39.3252,55.0016,28.5072,40.2656,0.00291762,11.3891,54.5005,-46,0.517794,14.4961,213
DATA,1775751052,832494020,2221,0,,4/9/2026,11:10:52,16481.129,439.94855,2106.2126,39.3272,55.0012,28.5059,40.2654,0.00291895,11.3893,54.5005,5.75,0.517794,14.4961,20
DATA,1775751053,832494020,2225,0,,4/9/2026,11:10:53,16432.162,440.87448,2104.8181,39.3268,55.001,28.5059,40.2656,0.00290848,11.3899,54.5005,-107,0.517794,14.4965,226
DATA,1775751054,832494020,2229,0,,4/9/2026,11:10:54,16348.294,440.12561,2104.636,39.3231,55.001,28.5042,40.2656,0.0029099,11.39,54.5005,-90.75,0.517794,14.4961,99
DATA,1775751055,832494020,2233,0,,4/9/2026,11:10:55,16307.189,438.94452,2104.5552,39.3222,55.001,28.4989,40.2654,0.00290919,11.3891,54.5005,-156.75,0.517794,14.4957,131
DATA,1775751056,832494020,2237,0,,4/9/2026,11:10:56,16319.039,439.44641,2104.7976,39.3256,55.001,28.4972,40.2652,0.00291514,11.3897,54.5005,5.25,0.517794,14.4929,239
DATA,1775751057,832494020,2241,0,,4/9/2026,11:10:57,16378,439.60349,2104.8308,39.3243,55.001,28.4955,40.2652,0.00291362,11.3893,54.5005,-12.5,0.517794,14.4926,64
DATA,1775751058,832494020,2245,0,,4/9/2026,11:10:58,16457.113,438.95816,2105.4092,39.3247,55.001,28.4955,40.2652,0.00292032,11.3891,54.5005,-779.5,0.517794,14.4922,71
DATA,1775751059,832494020,2249,0,,4/9/2026,11:10:59,16412.42,439.36227,2105.5627,39.3243,55.001,28.4856,40.2654,0.0029212,11.3889,54.5005,-184.75,0.517794,14.4914,19
DATA,1775751060,832151889,2253,0,,4/9/2026,11:11:00,16406.021,440.70166,2105.0991,39.3243,55.001,28.4823,40.2656,0.00291275,11.3898,54.5007,-113.25,0.517794,14.4922,87
DATA,1775751061,832151889,2257,0,,4/9/2026,11:11:01,16358.21,440.42667,2104.7742,39.326,55.001,28.4818,40.2656,0.00289854,11.389,54.5009,-110.75,0.517794,14.4918,230
DATA,1775751062,832151889,2261,0,,4/9/2026,11:11:02,16333.151,441.13681,2104.0791,39.3239,55.0012,28.4814,40.2656,0.00290337,11.3897,54.5013,262,0.517794,14.4926,210
DATA,1775751063,832151889,2265,0,,4/9/2026,11:11:03,16406.822,438.19171,2104.4329,39.3252,55.0014,28.4806,40.2656,0.00292744,11.3889,54.5013,-43.5,0.517794,14.4949,74
DATA,1775751064,832151889,2269,0,,4/9/2026,11:11:04,16550.635,438.35901,2104.3384,39.3235,55.0018,28.4802,40.2654,0.00292861,11.3892,54.5011,-120.25,0.517794,14.4969,168
DATA,1775751065,832151889,2273,0,,4/9/2026,11:11:05,16677.596,436.77158,2104.47,39.326,55.0012,28.4818,40.2652,0.00296153,11.3874,54.5013,-381,0.517794,14.4969,151
DATA,1775751066,832151889,2277,0,,4/9/2026,11:11:06,16727.016,438.59271,2104.636,39.3281,55.0012,28.4794,40.2652,0.00294228,11.3882,54.5013,140.5,0.517794,14.4965,31
DATA,1775751067,831809043,2281,0,,4/9/2026,11:11:07,16778.537,437.08118,2104.7346,39.3264,55.0016,28.4777,40.2652,0.00295951,11.3878,54.5009,-199.75,0.517794,14.4961,209
DATA,1775751068,831809043,2285,0,,4/9/2026,11:11:08,16799.904,437.66022,2105.8037,39.3252,55.0016,28.4794,40.2654,0.00295404,11.3879,54.5005,50.5,0.517794,14.4945,41
DATA,1775751069,831809043,2289,0,,4/9/2026,11:11:09,16954.771,435.57773,2105.8105,39.3264,55.0014,28.476,40.2654,0.00297296,11.3879,54.5005,-90.5,0.517794,14.4945,55
DATA,1775751070,831809043,2293,0,,4/9/2026,11:11:10,17282.633,432.80447,2105.9043,39.3281,55.0016,28.4785,40.2656,0.00301898,11.3864,54.5005,-59.5,0.517794,14.4945,70
DATA,1775751071,831809043,2297,0,,4/9/2026,11:11:11,17291.316,434.29044,2105.8579,39.3272,55.0014,28.4736,40.2656,0.0030234,11.3856,54.5005,-614.5,0.517794,14.4941,56
DATA,1775751072,831809043,2301,0,,4/9/2026,11:11:12,17212.08,433.98911,2106.0054,39.3285,55.001,28.469,40.2654,0.00301494,11.3868,54.5005,180,0.517794,14.4918,51
DATA,1775751073,831809043,2305,0,,4/9/2026,11:11:13,17245.084,437.08344,2105.5183,39.3276,55.001,28.4706,40.2652,0.00298975,11.3862,54.5005,0,0.517794,14.4918,69
DATA,1775751074,831809043,2309,0,,4/9/2026,11:11:14,16969.266,438.099,2105.9526,39.3293,55.001,28.4727,40.2652,0.00296774,11.3877,54.5005,282,0.517794,14.4914,105
DATA,1775751075,831471920,2313,0,,4/9/2026,11:11:15,16579.186,441.11295,2103.937,39.3293,55.0016,28.4769,40.2652,0.00292328,11.3884,54.5005,357,0.517794,14.4914,188
DATA,1775751076,831471920,2317,0,,4/9/2026,11:11:16,16264.072,441.96313,2102.7227,39.3264,55.0018,28.4831,40.2652,0.00289526,11.3899,54.5005,957.25,0.517794,14.491,78
DATA,1775751077,831471920,2321,0,,4/9/2026,11:11:17,16195.077,443.68619,2102.467,39.3293,55.0018,28.493,40.2652,0.00287796,11.3906,54.5005,-881.5,0.517794,14.4902,34
DATA,1775751078,831471920,2325,0,,4/9/2026,11:11:18,16221.593,441.88004,2102.5066,39.3268,55.0018,28.4872,40.2647,0.00289051,11.3895,54.5005,116.25,0.517028,14.491,58
DATA,1775751079,831471920,2329,0,,4/9/2026,11:11:19,16286.329,457.97375,2103.2324,39.3264,55.0018,28.4918,40.2645,0.0029094,11.3891,54.5005,650.25,0.517028,14.491,30
DATA,1775751080,831471920,2333,0,,4/9/2026,11:11:20,16351.183,449.61197,2103.3545,39.3256,55.0012,28.4955,40.2645,0.00292623,11.3885,54.5005,612.75,0.517028,14.4914,102
DATA,1775751081,831471920,2337,0,,4/9/2026,11:11:21,16448.229,445.27719,2103.4482,39.3252,55.001,28.4997,40.2647,0.00292937,11.3881,54.5005,-386.75,0.517028,14.4929,132
DATA,1775751082,831127882,2341,0,,4/9/2026,11:11:22,16603.348,444.58142,2104.811,39.326,55.001,28.5022,40.2645,0.00296524,11.3882,54.5005,1049.75,0.517028,14.4929,249
DATA,1775751083,831127882,2345,0,,4/9/2026,11:11:23,16669.58,438.87598,2104.1799,39.3264,55.001,28.5117,40.2645,0.00296886,11.387,54.5005,470,0.517028,14.4926,110
DATA,1775751084,831127882,2349,0,,4/9/2026,11:11:24,16657.717,438.54218,2105.2661,39.3272,55.001,28.5175,40.2645,0.0029621,11.3877,54.5005,662,0.517028,14.4922,126
DATA,1775751085,831127882,2353,0,,4/9/2026,11:11:25,16674.305,437.29092,2106.0608,39.3285,55.001,28.5341,40.2645,0.00297571,11.3877,54.5005,1321.5,0.517028,14.4926,62
DATA,1775751086,831127882,2357,0,,4/9/2026,11:11:26,16909.93,433.81305,2106.0393,39.3281,55.0012,28.5474,40.2645,0.00301121,11.3865,54.5011,746.5,0.517028,14.4929,6
DATA,1775751087,831127882,2361,0,,4/9/2026,11:11:27,17143.324,430.93283,2106.3831,39.3301,55.0012,28.5544,40.2645,0.0030309,11.3876,54.5013,85,0.517028,14.4922,96
DATA,1775751088,831127882,2365,0,,4/9/2026,11:11:28,16886.836,436.54361,2105.4116,39.3293,55.001,28.5611,40.2648,0.00297983,11.3874,54.5013,545,0.517028,14.4945,200
DATA,1775751089,831127882,2369,0,,4/9/2026,11:11:29,16531.91,439.17188,2104.0874,39.331,55.001,28.564,40.2647,0.00292994,11.3883,54.5013,401.75,0.517028,14.4922,185
DATA,1775751090,830792903,2373,0,,4/9/2026,11:11:30,16252.443,441.78806,2107.0291,39.3305,55.0012,28.564,40.2645,0.00288193,11.3891,54.5013,-171.5,0.517028,14.4918,45
DATA,1775751091,830792903,2377,0,,4/9/2026,11:11:31,16266.394,441.5737,2118.6707,39.3314,55.001,28.5602,40.2645,0.00288656,11.3885,54.5013,-50.5,0.517028,14.4914,219
DATA,1775751092,830792903,2381,0,,4/9/2026,11:11:32,16319.024,440.42798,2122.6099,39.3301,55.0012,28.5582,40.2645,0.0029005,11.3888,54.5013,-635,0.517028,14.4914,206
DATA,1775751093,830792903,2385,0,,4/9/2026,11:11:33,16313.385,437.86121,2190.5825,39.3301,55.0012,28.5515,40.2645,0.00291863,11.3886,54.5013,-352.25,0.517028,14.4918,159
DATA,1775751094,830792903,2389,0,,4/9/2026,11:11:34,16236.005,440.93808,2187.0757,39.3301,55.0016,28.547,40.2647,0.002887,11.3886,54.5013,-814.75,0.517028,14.491,233
DATA,1775751095,830792903,2393,0,,4/9/2026,11:11:35,16170.616,441.19656,2185.9153,39.3305,55.0016,28.5358,40.2647,0.00287431,11.389,54.5011,-764,0.517028,14.491,180
DATA,1775751096,830792903,2397,0,,4/9/2026,11:11:36,16174.581,441.0257,2173.9192,39.3305,55.0016,28.5283,40.2648,0.00287484,11.3882,54.5005,-591.25,0.517028,14.4906,132
DATA,1775751097,830456972,2401,0,,4/9/2026,11:11:37,16251.868,440.99542,2183.4441,39.3297,55.0016,28.5213,40.2648,0.00288358,11.3889,54.5005,-812.75,0.517028,14.4902,190
DATA,1775751098,830456972,2405,0,,4/9/2026,11:11:38,16285.252,441.54688,2398.6458,39.3293,55.0012,28.5146,40.2647,0.0028789,11.3873,54.5005,-605,0.517028,14.4926,4
DATA,1775751099,830456972,2409,0,,4/9/2026,11:11:39,16268.991,441.05646,2293.9917,39.3297,55.001,28.5063,40.2645,0.00288283,11.3878,54.5005,-422,0.517028,14.4918,6
DATA,1775751100,830456972,2413,0,,4/9/2026,11:11:40,16167.399,441.5773,2140.3076,39.3285,55.001,28.5005,40.2645,0.00287199,11.3885,54.5005,-513.5,0.517028,14.4914,2
DATA,1775751101,830456972,2417,0,,4/9/2026,11:11:41,16104.738,441.56061,2130.2046,39.3281,55.001,28.4939,40.2645,0.00286277,11.3887,54.5005,-539.5,0.517028,14.4906,53
DATA,1775751102,830456972,2421,0,,4/9/2026,11:11:42,16092.013,442.34167,2136.6582,39.3281,55.001,28.4872,40.2645,0.00285855,11.3892,54.5005,-611.25,0.517028,14.4906,95
DATA,1775751103,830456972,2425,0,,4/9/2026,11:11:43,16092.448,446.69119,2121.449,39.3276,55.001,28.4777,40.2647,0.0028617,11.3883,54.5005,-2933.25,0.517028,14.491,21
DATA,1775751104,830456972,2429,0,,4/9/2026,11:11:44,16116.307,441.27048,2116.6145,39.3285,55.001,28.4499,40.2639,0.002881,11.3884,54.5005,-761.25,0.515112,14.491,206
DATA,1775751105,830118894,2433,0,,4/9/2026,11:11:45,16185.019,441.20129,2128.8037,39.3281,55.001,28.4412,40.2616,0.00287548,11.3887,54.5005,-387.75,0.513195,14.491,57
DATA,1775751106,830118894,2437,0,,4/9/2026,11:11:46,16238.775,441.16168,2120.0916,39.3268,55.001,28.4354,40.2614,0.00287489,11.3887,54.5005,-401.5,0.513195,14.489,20
DATA,1775751107,830118894,2441,0,,4/9/2026,11:11:47,16282.563,441.13266,2167.1401,39.3268,55.001,28.4283,40.2614,0.00287815,11.3878,54.5005,-923.25,0.513195,14.4886,114
DATA,1775751108,830118894,2445,0,,4/9/2026,11:11:48,16304.522,439.58975,2628.3647,39.3247,55.0012,28.4229,40.2614,0.00289445,11.3866,54.5005,51,0.513195,14.4886,200
DATA,1775751109,830118894,2449,0,,4/9/2026,11:11:49,16299.104,439.53696,2700.5896,39.3243,55.001,28.4192,40.2614,0.00288516,11.3859,54.5005,-300.5,0.513195,14.4882,83
DATA,1775751110,830118894,2453,0,,4/9/2026,11:11:50,16251.843,439.99332,2233.7278,39.326,55.0012,28.418,40.2614,0.00288301,11.3873,54.5005,7.5,0.513195,14.4878,116
DATA,1775751111,830118894,2457,0,,4/9/2026,11:11:51,16257.156,439.76508,2123.6938,39.3252,55.0014,28.4146,40.2614,0.00288567,11.3879,54.5005,-540,0.513195,14.4878,34
DATA,1775751112,829768896,2461,0,,4/9/2026,11:11:52,16303.723,440.37296,2126.3828,39.3247,55.0018,28.408,40.2614,0.00287521,11.3875,54.5005,-630.25,0.513195,14.4878,126
DATA,1775751113,829768896,2465,0,,4/9/2026,11:11:53,16365.268,438.81424,2273.0603,39.3235,55.0018,28.4014,40.2614,0.00290037,11.3869,54.5005,-291.5,0.513195,14.4886,127
DATA,1775751114,829768896,2469,0,,4/9/2026,11:11:54,16422.846,437.6633,2508.6184,39.3235,55.0018,28.4014,40.2618,0.00291916,11.3864,54.5005,300.5,0.513195,14.4886,42
DATA,1775751115,829768896,2473,0,,4/9/2026,11:11:55,16411.104,437.97382,2471,39.3247,55.0018,28.4076,40.2614,0.00291047,11.386,54.5005,442.75,0.513195,14.4914,85
DATA,1775751116,829768896,2477,0,,4/9/2026,11:11:56,16397.295,437.97415,2318.1455,39.3243,55.0018,28.4151,40.2614,0.0029123,11.3868,54.5005,324.75,0.513195,14.4906,101
DATA,1775751117,829768896,2481,0,,4/9/2026,11:11:57,16351.481,438.50473,2273.7029,39.3247,55.0018,28.4205,40.2614,0.0029091,11.3873,54.5005,468.5,0.513195,14.4898,50
DATA,1775751118,829768896,2485,0,,4/9/2026,11:11:58,16373.432,440.07693,2198.6748,39.3243,55.0018,28.4279,40.2614,0.00291302,11.3879,54.5005,169.5,0.513195,14.4902,109
DATA,1775751119,829768896,2489,0,,4/9/2026,11:11:59,16425.379,440.19373,2150.1365,39.3252,55.001,28.4337,40.2614,0.00292513,11.3872,54.5005,312,0.513195,14.4898,197
DATA,1775751120,829432964,2493,0,,4/9/2026,11:12:00,16480.135,450.49274,2144.7473,39.3247,55.001,28.4337,40.2618,0.00290449,11.3872,54.5005,-240.75,0.513195,14.4898,116
DATA,1775751121,829432964,2497,0,,4/9/2026,11:12:01,16525.037,447.55215,2251.4834,39.3272,55.001,28.4383,40.2618,0.00296144,11.3876,54.5005,1027.75,0.513195,14.4894,122
DATA,1775751122,829432964,2501,0,,4/9/2026,11:12:02,16559.393,438.07703,2431.4546,39.3256,55.001,28.4478,40.2618,0.00293871,11.3881,54.5005,357,0.513195,14.4894,187
DATA,1775751123,829432964,2505,0,,4/9/2026,11:12:03,16524.254,435.06467,2391.3772,39.3264,55.001,28.4528,40.2616,0.00291156,11.3872,54.5005,-551.5,0.513195,14.4871,55
DATA,1775751124,829432964,2509,0,,4/9/2026,11:12:04,16534.555,437.18158,2682.4192,39.326,55.001,28.4395,40.2614,0.00290958,11.3862,54.5011,-1521.25,0.513195,14.4859,123
DATA,1775751125,829432964,2513,0,,4/9/2026,11:12:05,16693.117,436.08734,2584.5154,39.3264,55.001,28.4171,40.2614,0.00292388,11.3857,54.5013,-1021.5,0.513195,14.4882,108
DATA,1775751126,829432964,2517,0,,4/9/2026,11:12:06,16986.699,434.68152,2529.488,39.326,55.001,28.4022,40.2614,0.00297127,11.3853,54.5013,-704,0.513195,14.4875,141
DATA,1775751127,829091072,2521,0,,4/9/2026,11:12:07,17043.066,434.6937,2480.0818,39.326,55.001,28.3947,40.2614,0.00297371,11.3847,54.5011,-489,0.513195,14.4882,123
DATA,1775751128,829091072,2525,0,,4/9/2026,11:12:08,17062.867,434.84903,2370.345,39.3252,55.001,28.3873,40.2614,0.00297461,11.3855,54.5005,-309.25,0.513195,14.4867,67
DATA,1775751129,829091072,2529,0,,4/9/2026,11:12:09,17154.232,433.96786,2256.3503,39.3264,55.001,28.381,40.2616,0.00298755,11.3852,54.5005,-254.25,0.513195,14.4863,69
DATA,1775751130,829091072,2533,0,,4/9/2026,11:12:10,17179.105,434.62036,2255.7344,39.3264,55.001,28.3748,40.2616,0.00298772,11.385,54.5005,-44.25,0.513195,14.4867,2
DATA,1775751131,829091072,2537,0,,4/9/2026,11:12:11,17180.365,435.23315,2609.8293,39.3272,55.001,28.3744,40.2616,0.00298527,11.3846,54.5005,43.5,0.513195,14.4867,219
DATA,1775751132,829091072,2541,0,,4/9/2026,11:12:12,16996.838,435.82755,2882.27,39.3276,55.001,28.3752,40.2614,0.00296118,11.384,54.5005,-2.25,0.513195,14.4882,122
DATA,1775751133,829091072,2545,0,,4/9/2026,11:12:13,16904.471,437.4133,2341.4585,39.3272,55.001,28.3744,40.2618,0.00294383,11.386,54.5005,13.75,0.51377,14.489,64
DATA,1775751134,829091072,2549,0,,4/9/2026,11:12:14,16942.656,436.58624,2253.3875,39.3268,55.0016,28.3744,40.2622,0.0029516,11.3862,54.5005,-29.5,0.513962,14.4882,32
DATA,1775751135,828751087,2553,0,,4/9/2026,11:12:15,17028.9,435.77762,2563.9409,39.3281,55.0016,28.3723,40.2622,0.00296984,11.386,54.5005,-10.75,0.513962,14.4886,245
DATA,1775751136,828751087,2557,0,,4/9/2026,11:12:16,17066.336,435.9902,2885.7019,39.3268,55.0018,28.3698,40.2622,0.0029731,11.3839,54.5005,-11.75,0.513962,14.4882,46
DATA,1775751137,828751087,2561,0,,4/9/2026,11:12:17,16929.174,436.71057,2381.2527,39.3268,55.0012,28.3686,40.2622,0.00294682,11.3851,54.5005,-0.75,0.513962,14.4878,86
DATA,1775751138,828751087,2565,0,,4/9/2026,11:12:18,16670.105,438.71603,2184.0032,39.3272,55.0012,28.3711,40.2622,0.00291909,11.3869,54.5005,163.5,0.513962,14.4882,61
DATA,1775751139,828751087,2569,0,,4/9/2026,11:12:19,16553.064,439.30905,2462.0857,39.3264,55.001,28.374,40.2624,0.00290578,11.3863,54.5005,25,0.513962,14.4882,94
DATA,1775751140,828751087,2573,0,,4/9/2026,11:12:20,16496.355,439.28009,2473.73,39.3281,55.0012,28.3732,40.2624,0.00289943,11.3866,54.5005,-0.25,0.513962,14.4859,228
DATA,1775751141,828751087,2577,0,,4/9/2026,11:12:21,16414.295,439.71964,2237.3459,39.3276,55.001,28.3719,40.2622,0.00288274,11.3872,54.5005,1.75,0.513962,14.4855,247
DATA,1775751142,828402996,2581,0,,4/9/2026,11:12:22,16384.318,439.09219,2230.1067,39.3268,55.0012,28.3723,40.2622,0.00288865,11.3873,54.5005,-74,0.513962,14.4855,230
DATA,1775751143,828402996,2585,0,,4/9/2026,11:12:23,16398.525,439.5351,2218.1682,39.3264,55.0012,28.3698,40.2622,0.002888,11.3879,54.5007,-57,0.513962,14.4851,100
DATA,1775751144,828402996,2589,0,,4/9/2026,11:12:24,16398.994,439.61151,2304.3181,39.326,55.001,28.3682,40.2622,0.00288549,11.3874,54.5011,-78.5,0.513962,14.4847,250
DATA,1775751145,828402996,2593,0,,4/9/2026,11:12:25,16401.926,439.54016,2256.5059,39.3264,55.001,28.3669,40.2622,0.00289055,11.3876,54.5011,-115.25,0.513962,14.4851,122
DATA,1775751146,828402996,2597,0,,4/9/2026,11:12:26,16355.952,439.86127,2200.334,39.3268,55.001,28.3649,40.2624,0.0028839,11.3878,54.5011,-16.5,0.513962,14.4855,196
DATA,1775751147,828402996,2601,0,,4/9/2026,11:12:27,16377.073,439.06531,2186.8279,39.3264,55.001,28.3636,40.2625,0.00288721,11.3879,54.5013,-60,0.513962,14.4871,190
DATA,1775751148,828402996,2605,0,,4/9/2026,11:12:28,16389.967,438.23016,2129.3418,39.3252,55.001,28.362,40.2625,0.00288394,11.3881,54.5013,-117.25,0.513962,14.4871,79
DATA,1775751149,828402996,2609,0,,4/9/2026,11:12:29,16380.688,438.37262,2121.7375,39.3256,55.001,28.3586,40.2622,0.00288633,11.3884,54.5013,-42.75,0.513962,14.4898,104
DATA,1775751150,828069925,2613,0,,4/9/2026,11:12:30,16440.912,437.93329,2165.8171,39.3256,55.001,28.3582,40.2622,0.00289279,11.3878,54.5013,106.75,0.513962,14.4894,85
DATA,1775751151,828069925,2617,0,,4/9/2026,11:12:31,16468.547,438.08423,2359.4795,39.3256,55.001,28.3578,40.2622,0.0029004,11.3871,54.5011,-51.5,0.513962,14.489,181
