SECONDS,Elapsed_sec,Datetime,Corrected_Datetime,CH4,CH4_ppm,peak_prominence_ppm,peak_height_ppm,peak_over_100ppm,peak_rank_by_ch4,nearest_image_id,nearest_image_file,nearest_image_datetime,nearest_image_timestamp_source,nearest_image_path,nearest_image_delta_seconds,nearest_image_abs_delta_seconds,nearest_image_relation
1775750958,371,2026-04-09 11:09:18,2026-04-09 11:10:34,5702.0703,5.7020703,3.5881484,5.7020703,False,15,19,19_2026-04-09_11-10-29.HEIC,2026-04-09 11:10:29,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/19_2026-04-09_11-10-29.HEIC,-5.0,5.0,before
1775751797,1210,2026-04-09 11:23:17,2026-04-09 11:24:33,5459.9351,5.4599351,3.3591321,5.4599351,False,16,42,42_2026-04-09_11-22-14.HEIC,2026-04-09 11:22:14,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/42_2026-04-09_11-22-14.HEIC,-139.0,139.0,before
1775750978,391,2026-04-09 11:09:38,2026-04-09 11:10:54,5332.877,5.332877000000001,3.2268814000000003,5.332877000000001,False,17,20,20_2026-04-09_11-11-17.HEIC,2026-04-09 11:11:17,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/20_2026-04-09_11-11-17.HEIC,23.0,23.0,after
1775750951,364,2026-04-09 11:09:11,2026-04-09 11:10:27,4493.8926,4.493892600000001,2.3798191000000006,4.493892600000001,False,18,19,19_2026-04-09_11-10-29.HEIC,2026-04-09 11:10:29,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/19_2026-04-09_11-10-29.HEIC,2.0,2.0,after
1775751183,596,2026-04-09 11:13:03,2026-04-09 11:14:19,4369.5166,4.3695166,2.2670495999999996,4.3695166,False,19,29,29_2026-04-09_11-13-34.HEIC,2026-04-09 11:13:34,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/29_2026-04-09_11-13-34.HEIC,-45.0,45.0,before
1775751808,1221,2026-04-09 11:23:28,2026-04-09 11:24:44,4230.5698,4.2305698000000005,0.17054470000000066,4.2305698000000005,False,20,42,42_2026-04-09_11-22-14.HEIC,2026-04-09 11:22:14,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/42_2026-04-09_11-22-14.HEIC,-150.0,150.0,before
1775751519,932,2026-04-09 11:18:39,2026-04-09 11:19:55,4217.1953,4.2171953,2.1190884,4.2171953,False,21,35,35_2026-04-09_11-19-57.HEIC,2026-04-09 11:19:57,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/35_2026-04-09_11-19-57.HEIC,2.0,2.0,after
1775750915,328,2026-04-09 11:08:35,2026-04-09 11:09:51,4208.9434,4.2089434,2.059387,4.2089434,False,22,19,19_2026-04-09_11-10-29.HEIC,2026-04-09 11:10:29,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/19_2026-04-09_11-10-29.HEIC,38.0,38.0,after
1775750930,343,2026-04-09 11:08:50,2026-04-09 11:10:06,3815.9746,3.8159746,1.6034164999999998,3.8159746,False,23,19,19_2026-04-09_11-10-29.HEIC,2026-04-09 11:10:29,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/19_2026-04-09_11-10-29.HEIC,23.0,23.0,after
1775751815,1228,2026-04-09 11:23:35,2026-04-09 11:24:51,3706.832,3.706832,0.7913834999999998,3.706832,False,24,42,42_2026-04-09_11-22-14.HEIC,2026-04-09 11:22:14,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/42_2026-04-09_11-22-14.HEIC,-157.0,157.0,before
1775750858,271,2026-04-09 11:07:38,2026-04-09 11:08:54,3669.4102,3.6694101999999997,1.1169683,3.6694101999999997,False,25,19,19_2026-04-09_11-10-29.HEIC,2026-04-09 11:10:29,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/19_2026-04-09_11-10-29.HEIC,95.0,95.0,after
1775750815,228,2026-04-09 11:06:55,2026-04-09 11:08:11,3439.1804,3.4391804,1.322228,3.4391804,False,26,18,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-132.0,132.0,before
