Corrected_Datetime,matched_elapsed_sec,matched_ch4_ppm,matched_image_id,matched_image_file,matched_image_datetime,matched_image_timestamp_source,matched_image_path,matched_image_delta_seconds,peak_elapsed_sec,peak_ch4_ppm,peak_rank_by_ch4,peak_prominence_ppm,peak_height_ppm,peak_over_100ppm,nearest_image_id,nearest_image_file,nearest_image_datetime,nearest_image_timestamp_source,nearest_image_path,nearest_image_delta_seconds,nearest_image_abs_delta_seconds,nearest_image_relation,event_elapsed_sec,event_ch4_ppm,has_exact_image_match,is_detected_peak,report_row_type,best_image_file,best_image_datetime,best_image_path,best_image_delta_seconds,best_image_link_type
2026-04-09 11:05:14,51.0,2.164342,13.0,13_2026-04-09_11-05-14.HEIC,2026-04-09 11:05:14,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/13_2026-04-09_11-05-14.HEIC,0.0,,,,,,,,,,,,,,,51.0,2.164342,True,False,matched_image_only,13_2026-04-09_11-05-14.HEIC,2026-04-09 11:05:14,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/13_2026-04-09_11-05-14.HEIC,0.0,exact_image_match
2026-04-09 11:05:16,53.0,2.1631489,14.0,14_2026-04-09_11-05-16.HEIC,2026-04-09 11:05:16,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/14_2026-04-09_11-05-16.HEIC,0.0,,,,,,,,,,,,,,,53.0,2.1631489,True,False,matched_image_only,14_2026-04-09_11-05-16.HEIC,2026-04-09 11:05:16,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/14_2026-04-09_11-05-16.HEIC,0.0,exact_image_match
2026-04-09 11:05:20,57.0,2.1617995999999997,15.0,15_2026-04-09_11-05-20.HEIC,2026-04-09 11:05:20,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/15_2026-04-09_11-05-20.HEIC,0.0,,,,,,,,,,,,,,,57.0,2.1617995999999997,True,False,matched_image_only,15_2026-04-09_11-05-20.HEIC,2026-04-09 11:05:20,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/15_2026-04-09_11-05-20.HEIC,0.0,exact_image_match
2026-04-09 11:05:53,90.0,2.1556206,16.0,16_2026-04-09_11-05-53.HEIC,2026-04-09 11:05:53,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/16_2026-04-09_11-05-53.HEIC,0.0,,,,,,,,,,,,,,,90.0,2.1556206,True,False,matched_image_only,16_2026-04-09_11-05-53.HEIC,2026-04-09 11:05:53,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/16_2026-04-09_11-05-53.HEIC,0.0,exact_image_match
2026-04-09 11:05:56,93.0,2.1548726,17.0,17_2026-04-09_11-05-56.HEIC,2026-04-09 11:05:56,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/17_2026-04-09_11-05-56.HEIC,0.0,,,,,,,,,,,,,,,93.0,2.1548726,True,False,matched_image_only,17_2026-04-09_11-05-56.HEIC,2026-04-09 11:05:56,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/17_2026-04-09_11-05-56.HEIC,0.0,exact_image_match
2026-04-09 11:05:59,96.0,2.1558078999999997,18.0,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,0.0,,,,,,,,,,,,,,,96.0,2.1558078999999997,True,False,matched_image_only,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,0.0,exact_image_match
2026-04-09 11:06:07,,,,,,,,,104.0,2.1649341,93.0,0.09391799999999995,2.1649341,False,18.0,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-8.0,8.0,before,104.0,2.1649341,False,True,peak_only,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-8.0,nearest_peak_image
2026-04-09 11:06:19,,,,,,,,,116.0,2.1541416,97.0,0.07480200000000004,2.1541416,False,18.0,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-20.0,20.0,before,116.0,2.1541416,False,True,peak_only,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-20.0,nearest_peak_image
2026-04-09 11:07:23,,,,,,,,,180.0,2.22424,77.0,0.11427760000000031,2.22424,False,18.0,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-84.0,84.0,before,180.0,2.22424,False,True,peak_only,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-84.0,nearest_peak_image
2026-04-09 11:07:58,,,,,,,,,215.0,2.5253994,46.0,0.41141939999999977,2.5253994,False,18.0,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,filename_timestamp,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-119.0,119.0,before,215.0,2.5253994,False,True,peak_only,18_2026-04-09_11-05-59.HEIC,2026-04-09 11:05:59,/Users/erumhassan/Library/CloudStorage/OneDrive-UniversityofOklahoma/Caddo Nation Field Survey - Documents/Wells/W16/Field Visit Data/Field Pictures/18_2026-04-09_11-05-59.HEIC,-119.0,nearest_peak_image
